Thu Dec  1 16:36:25 2022    ./Profile

         95017 function calls (92189 primitive calls) in 82.785 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numeric.py:2273(isclose)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      977    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        3    0.000    0.000    0.000    0.000 enum.py:500(<listcomp>)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
       23    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       20    0.000    0.000    0.000    0.000 {method 'diagonal' of 'numpy.ndarray' objects}
       87    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       11    0.000    0.000    0.000    0.000 _methods.py:66(_count_reduce_items)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
      339    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:914(__init__)
        5    0.000    0.000    0.000    0.000 enum.py:200(<setcomp>)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
      339    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 core.py:6490(__new__)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        6    0.000    0.000    0.000    0.000 numeric.py:2531(extend_all)
      327    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        4    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      660    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      130    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      100    0.000    0.000    0.000    0.000 shape_base.py:600(<listcomp>)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:362(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:373(<dictcomp>)
      314    0.000    0.000    0.000    0.000 overrides.py:128(array_function_dispatch)
       18    0.000    0.000    0.000    0.000 core.py:990(__init__)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
       88    0.000    0.000    0.000    0.000 enum.py:631(__new__)
       15    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
      494    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       63    0.000    0.000    0.000    0.000 fromnumeric.py:70(<dictcomp>)
      360    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       21    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
       50    0.000    0.000    0.000    0.000 _internal.py:870(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
       80    0.000    0.000    0.000    0.000 enum.py:417(__setattr__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
    45/34    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        6    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
