Thu Dec  1 16:04:08 2022    ./Profile

         104550 function calls (101758 primitive calls) in 5.073 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 hashlib.py:79(__get_builtin_constructor)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
       88    0.000    0.000    0.000    0.000 enum.py:631(__new__)
       18    0.000    0.000    0.000    0.000 core.py:990(__init__)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
        6    0.000    0.000    0.000    0.000 numeric.py:2531(extend_all)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:3313(mean)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
      339    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:362(_get_scalar_type_map)
       23    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:373(<dictcomp>)
        1    0.000    0.000    0.000    0.000 A1_functionKL2.py:109(test_power)
      121    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      330    0.000    0.000    0.000    0.000 functools.py:64(wraps)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
      651    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
      327    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      339    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
       50    0.000    0.000    0.000    0.000 _internal.py:870(_ufunc_doc_signature_formatter)
      131    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        6    0.000    0.000    0.000    0.000 enum.py:932(__or__)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      494    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
       80    0.000    0.000    0.000    0.000 enum.py:417(__setattr__)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        4    0.000    0.000    0.000    0.000 re.py:203(sub)
        2    0.000    0.000    0.000    0.000 _methods.py:163(_mean)
        6    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      360    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
      314    0.000    0.000    0.000    0.000 overrides.py:128(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 contextlib.py:72(inner)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
    45/34    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       38    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       15    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
       56    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
      387    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       21    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        5    0.000    0.000    0.000    0.000 enum.py:143(__prepare__)
        1    0.000    0.000    0.000    0.000 _monitor.py:1(<module>)
       67    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
       48    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        3    0.000    0.000    0.000    0.000 enum.py:889(_missing_)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
